Date, Cost per Mb ,Cost per Read
9/30/2001,5292.39,0.7938585
3/31/2002,3898.64,0.584796
9/30/2002,3413.8,0.51207
3/31/2003,2986.2,0.44793
10/31/2003,2230.98,0.334647
1/31/2004,1598.91,0.2398365
4/30/2004,1135.7,0.170355
7/31/2004,1107.46,0.166119
10/31/2004,1028.85,0.1543275
1/31/2005,974.16,0.146124
4/30/2005,897.76,0.134664
7/31/2005,898.9,0.134835
10/31/2005,766.73,0.1150095
1/31/2006,699.2,0.10488
4/30/2006,651.81,0.0977715
7/31/2006,636.41,0.0954615
10/31/2006,581.92,0.087288
1/31/2007,522.71,0.0784065
4/30/2007,502.61,0.0753915
7/31/2007,495.96,0.074394
10/31/2007,397.09,0.0595635
1/31/2008,102.13,0.0153195
4/30/2008,15.03,0.0022545
7/31/2008,8.36,0.001254
10/31/2008,3.81,0.0005715
1/31/2009,2.59,0.0003885
4/30/2009,1.72,0.000258
7/31/2009,1.2,0.00018
10/31/2009,0.78,0.000117
1/31/2010,0.52,0.000078
4/30/2010,0.35,0.0000525
7/31/2010,0.35,0.0000525
10/31/2010,0.32,0.000048
1/31/2011,0.23,0.0000345
4/30/2011,0.19,0.0000285
7/31/2011,0.12,0.000018
10/30/2011,0.09,0.0000135
1/31/2012,0.09,0.0000135
4/30/2012,0.07,0.0000105
7/31/2012,0.07,0.0000105
10/31/2012,0.07,0.0000105
1/31/2013,0.06,0.000009
4/30/2013,0.06,0.000009
7/31/2013,0.06,0.000009
10/31/2013,0.06,0.000009
1/31/2014,0.04,0.000006
4/30/2014,0.05,0.0000075
7/31/2014,0.05,0.0000075
10/31/2014,0.06,0.000009
1/31/2015,0.04,0.000006
4/30/2015,0.05,0.0000075
7/31/2015,0.015,0.00000225
10/31/2015,0.014,0.0000021
5/31/2016,0.013,0.00000195
8/31/2016,0.017,0.00000255
11/30/2016,0.015,0.00000225
2/28/2017,0.011,0.00000165
5/31/2017,0.015,0.00000225
8/31/2017,0.013,0.00000195
11/30/2017,0.02,0.000003
2/28/2018,0.014,0.0000021
5/31/2018,0.016,0.0000024
8/31/2018,0.016,0.0000024
11/30/2018,0.015,0.00000225
2/28/2019,0.011,0.00000165
5/1/2019,0.007,0.00000105
8/1/2019,0.01,0.0000015
11/30/2019,0.008,0.0000012
2/28/2020,0.007,0.00000105
5/31/2020,0.008,0.0000012
8/31/2020,0.008,0.0000012
11/30/2020,0.006,0.0000009
2/28/2021,0.009,0.00000135
5/31/2021,0.005,0.00000075
8/31/2021,0.006,0.0000009
11/30/2021,0.006,0.0000009
2/28/2022,0.006,0.0000009
5/31/2022,0.006,0.0000009
