pve,sample_size,scenario,power
0.01,100,MPP 1 WG,0
0.01,150,MPP 1 WG,0
0.01,200,MPP 1 WG,0
0.01,300,MPP 1 WG,0.003
0.01,400,MPP 1 WG,0.007
0.01,500,MPP 1 WG,0.017
0.01,750,MPP 1 WG,0.049
0.01,1000,MPP 1 WG,0.112
0.01,1500,MPP 1 WG,0.306
0.01,2000,MPP 1 WG,0.546
0.01,3000,MPP 1 WG,0.861
0.01,5000,MPP 1 WG,0.996
0.02,100,MPP 1 WG,0
0.02,150,MPP 1 WG,0.002
0.02,200,MPP 1 WG,0.007
0.02,300,MPP 1 WG,0.019
0.02,400,MPP 1 WG,0.051
0.02,500,MPP 1 WG,0.096
0.02,750,MPP 1 WG,0.262
0.02,1000,MPP 1 WG,0.528
0.02,1500,MPP 1 WG,0.861
0.02,2000,MPP 1 WG,0.977
0.02,3000,MPP 1 WG,1
0.02,5000,MPP 1 WG,1
0.05,100,MPP 1 WG,0.015
0.05,150,MPP 1 WG,0.046
0.05,200,MPP 1 WG,0.09
0.05,300,MPP 1 WG,0.301
0.05,400,MPP 1 WG,0.515
0.05,500,MPP 1 WG,0.735
0.05,750,MPP 1 WG,0.968
0.05,1000,MPP 1 WG,0.999
0.05,1500,MPP 1 WG,0.999
0.05,2000,MPP 1 WG,1
0.05,3000,MPP 1 WG,1
0.05,5000,MPP 1 WG,1
0.1,100,MPP 1 WG,0.09
0.1,150,MPP 1 WG,0.311
0.1,200,MPP 1 WG,0.554
0.1,300,MPP 1 WG,0.9
0.1,400,MPP 1 WG,0.99
0.1,500,MPP 1 WG,0.998
0.1,750,MPP 1 WG,1
0.1,1000,MPP 1 WG,1
0.1,1500,MPP 1 WG,1
0.1,2000,MPP 1 WG,1
0.1,3000,MPP 1 WG,1
0.1,5000,MPP 1 WG,1
0.01,100,MPP 1 Cis-only,0.112
0.01,150,MPP 1 Cis-only,0.152
0.01,200,MPP 1 Cis-only,0.191
0.01,300,MPP 1 Cis-only,0.278
0.01,400,MPP 1 Cis-only,0.382
0.01,500,MPP 1 Cis-only,0.507
